,agecell,all,internal,external,alcohol,homicide,suicide,mva,drugs,externalother
1,19.06849289,92.82540131,16.61758995,76.20781708,0.639138043,16.31681824,11.20371437,35.82932663,3.872424603,8.534373283
2,19.15068436,95.10073853,18.3276844,76.77305603,0.677409291,16.85996437,12.19336796,35.63925552,3.23651123,8.655785561
3,19.23287582,92.14429474,18.9110527,73.23323822,0.866442621,15.21925354,11.71581173,34.20565033,3.202070713,8.51374054
4,19.3150692,88.42775726,16.1017704,72.32598114,0.867308438,16.74282455,11.27501011,32.27895737,3.280688524,8.258284569
5,19.39726067,88.7049408,17.36351967,71.34141541,1.019163132,14.94772625,10.98431396,32.65096664,3.548197508,8.417532921
6,19.47945213,90.19178772,17.87210464,72.31967926,1.171321869,15.64281464,12.16663361,32.72144318,3.211688995,7.972545624
7,19.5616436,96.2203064,16.41494179,79.80536652,0.86991632,16.2636528,12.40576267,36.38519669,3.857889652,10.28770542
8,19.64383507,89.61555481,15.97708702,73.63846588,1.097951412,15.82564545,10.97951412,34.18793488,3.483156204,8.670030594
9,19.72602654,93.38169861,17.43327141,75.94842529,1.174850941,16.78899956,11.90010262,31.91046715,4.055130482,10.76315022
10,19.80821991,90.85795593,18.28540039,72.57255554,0.948412895,16.61619377,11.5706377,30.57683182,3.566032648,9.863493919
11,19.89041138,95.81015015,18.60759926,77.2025528,1.329114199,17.27848434,11.46835709,33.53165436,4.101266861,9.835445404
12,19.97260284,94.1580658,18.4362793,75.7217865,1.216414213,16.9537735,11.63196087,33.60344315,3.763281584,9.123106956
13,20.05479431,92.46459961,19.63445854,72.83013916,1.0273844,17.19917679,11.26317787,31.7728157,3.729024887,8.295178413
14,20.13698578,98.24559784,20.88385963,77.36174011,0.952730775,17.03482628,11.92818928,34.29830933,3.925250769,9.67974472
15,20.21917725,94.96040344,18.47300339,76.48739624,1.374025106,16.29746437,11.87005043,33.32011032,4.236577511,9.809012413
16,20.30137062,93.38532257,18.88348389,74.50183868,0.993867517,15.94010639,12.46156979,32.75940323,3.440310717,9.250613213
17,20.38356209,90.12091827,18.5678196,71.55310059,1.225093246,16.88331604,11.10240746,30.58904648,3.254153967,8.996778488
18,20.46575356,92.40622711,19.36313057,73.04309082,0.996913612,17.33095932,10.88936424,31.28775024,4.179368496,8.972222328
19,20.54794502,93.35448456,19.96887398,73.38561249,0.960042,16.74313164,11.48210239,30.2989254,4.377791405,9.83082962
20,20.63013649,92.22878265,19.42265701,72.80612183,0.961517692,15.88427258,12.34588718,30.2301178,3.653767347,10.19208813
21,20.71232796,92.33224487,20.37703705,71.95520782,1.001517892,17.41100311,10.97817707,30.12257767,3.659392357,9.398859978
22,20.79452133,92.66751099,19.52113152,73.14637756,1.195958734,17.9008007,11.30373859,29.74464989,4.359462261,9.220456123
23,20.8767128,93.39019775,18.62394524,74.76625061,0.965972245,18.16027832,12.20988941,30.71791649,3.941166639,9.157417297
24,20.95890427,94.26991272,20.20069504,74.0692215,1.238356829,17.14350319,11.88048553,30.41713905,4.489043713,9.481169701
25,20.99999046,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,21.04109573,105.2683487,21.93736649,83.33098602,2.519308805,18.33281708,12.40275097,36.31680679,4.224687099,10.69737244
28,21.1232872,101.0665131,21.12185287,79.944664,1.591904402,17.31681442,14.83189011,32.57579803,4.426270962,9.978522301
29,21.20547867,96.96652222,19.25328064,77.71324158,1.361343145,16.88065529,12.21319294,33.02229309,4.745253086,10.2684164
30,21.28767204,102.8268967,21.50831604,81.31858063,1.44168067,17.37809563,14.45577049,35.10687256,4.169184685,9.624192238
31,21.36986351,100.9794312,22.36614418,78.61328888,1.327135921,17.01856613,13.58362675,32.35869598,4.410775185,10.57805347
32,21.45205498,101.2369461,21.23277855,80.00417328,1.720519781,17.47891617,13.8032608,32.45526123,4.848737717,10.28401566
33,21.53424644,99.49759674,21.27054977,78.22704315,1.135996222,18.4109726,12.84850883,31.53368759,4.622329235,10.34148216
34,21.61643791,95.2013092,22.09329605,73.10800934,1.020294309,16.59940338,11.81186867,30.0986824,4.866019249,9.496585846
